node,bidir_probs,deeprank_probs,ns_paths,min_depths,max_depths,in_degrees,pageranks,labels
C++ Technical Report 1,0.171875,0.00502960744815,8,3,5,0.00265957446809,0.000668180431882,0
Microsoft Windows,0.368421052632,0.0128363172052,152,3,5,0.0398936170213,0.00387884955231,1
Open-source software,0.469594594595,0.00663293957634,74,3,5,0.0239361702128,0.00217432115505,0
Type inference,0.201388888889,0.00181144616114,27,3,5,0.00797872340426,0.000789544798119,0
Machine code,0.359862110312,0.0272835330071,417,3,5,0.0452127659574,0.0125430745267,1
Automation,0.569444444444,0.00452864988792,18,3,5,0.00797872340426,0.00123333926367,0
Radio astronomy,0.193181818182,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Latin alphabet,0.575,0.00460404844073,10,3,5,0.00797872340426,0.00104326140867,0
Advanced Micro Devices,0.377717391304,0.00407456371467,46,3,5,0.0186170212766,0.00124974406098,0
Dynamic programming language,0.484693877551,0.002692074955,49,3,5,0.0132978723404,0.00131074268113,0
Laser,0.386363636364,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Intel,0.409420289855,0.0112611548192,69,3,5,0.0265957446809,0.00245333686331,0
International standard,0.290540540541,0.0217013310497,37,3,5,0.00531914893617,0.0016960838337,0
Relational data stream management system,0.325,0.00176694190583,5,3,5,0.00265957446809,0.000684497858175,0
Letter (alphabet),0.761363636364,0.00953164566905,22,3,5,0.0159574468085,0.00373065514896,0
Smalltalk,0.376838235294,0.00479725211336,102,3,5,0.0186170212766,0.00212080558295,0
James Gosling,0.233695652174,0.00146296906845,23,3,5,0.00531914893617,0.000678990700555,0
Sun Microsystems,0.199038461538,0.00306537524765,65,3,5,0.0186170212766,0.00150051304429,0
Ecma International,0.467741935484,0.00414022033669,31,3,5,0.0106382978723,0.00110532244837,0
Object-oriented programming,0.344452247191,0.0410243110606,178,2,5,0.063829787234,0.00609815595324,1
Read-only memory,0.514204545455,0.00289516364427,44,3,5,0.0159574468085,0.00260166685452,0
Reference implementation,0.499526515152,0.0062474392699,132,3,5,0.0132978723404,0.00290122330477,0
Online transaction processing,1.0,0.003367003367,1,3,3,0.00265957446809,0.000607954085971,0
Web directory,0.35,0.00390984676699,5,3,5,0.00265957446809,0.000744220633638,0
CUDA,0.348214285714,0.0018656116094,14,3,5,0.00531914893617,0.000591837208268,0
Power Architecture,0.35,0.00106991261323,10,3,5,0.00531914893617,0.000711198037998,0
Non-volatile memory,0.528225806452,0.00643426725491,93,3,5,0.0345744680851,0.0065536009967,0
Telephone numbering plan,0.625,0.00473484848485,2,3,4,0.00531914893617,0.000812112988412,0
Subroutine,0.379380841121,0.0153570051464,214,3,5,0.0398936170213,0.00983723509501,1
Æ,0.678571428571,0.00760570128159,7,3,5,0.00797872340426,0.00258327340572,0
Applied Micro Circuits Corporation,0.35,0.00113953110391,10,3,5,0.00531914893617,0.000752746361428,0
C++/CLI,0.270833333333,0.00178858394629,6,3,5,0.00531914893617,0.000591313848229,0
Computer data storage,0.666015625,0.0110971959121,128,3,5,0.0478723404255,0.0101265227418,0
Volatile memory,0.460365853659,0.00240395922367,41,3,5,0.0132978723404,0.00246953670503,0
Technical standard,0.525,0.0204492933255,40,3,5,0.0132978723404,0.00533909373113,0
Linux,0.327083333333,0.00804291743586,120,3,5,0.0292553191489,0.00212621229619,0
Digital data,0.765384615385,0.00711120984723,65,3,5,0.0106382978723,0.00726381734853,0
Relational algebra,0.354166666667,0.00204752551975,6,3,5,0.00531914893617,0.000781472174656,0
Anders Hejlsberg,0.220833333333,0.00231333489773,15,3,5,0.00265957446809,0.000607199356059,0
Firmware,0.565277777778,0.00613976958536,90,3,5,0.0186170212766,0.00238249742795,0
Grace Murray Hopper Award,0.375,0.00435388366423,2,3,5,0.00265957446809,0.00061541050838,0
Mobile device,0.454268292683,0.0113194098039,82,3,5,0.0132978723404,0.00940665008464,0
Semiconductor memory,0.375,0.00101041019315,4,3,5,0.00265957446809,0.000789859731294,0
Natural language,0.507575757576,0.00589940810858,66,3,5,0.00797872340426,0.00152058278334,0
Ruby (programming language),0.348557692308,0.00401270767591,78,3,5,0.0186170212766,0.00146554852818,0
C++03,0.2125,0.0363480832111,10,2,5,0.00797872340426,0.000973208486357,0
Java virtual machine,0.31746031746,0.00363639944333,63,3,5,0.0186170212766,0.00156904385523,0
Sequence container (C++),0.28125,0.00513067179734,4,3,5,0.00265957446809,0.000641386125655,0
Car,0.541666666667,0.00415017148713,6,3,5,0.00531914893617,0.00129020746055,0
JAXA,1.0,0.00126262626263,1,3,3,0.00265957446809,0.000678946425188,0
Plan 9 from Bell Labs,0.201923076923,0.00215817397797,13,3,5,0.00531914893617,0.000881898621076,0
S (programming language),0.193181818182,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Collective noun,0.597826086957,0.00244316174627,23,3,5,0.00265957446809,0.00116743207548,0
Œ,1.0,0.00278476464247,2,3,5,0.00265957446809,0.000619269253788,0
Permissive software licence,0.356060606061,0.00298647322972,33,3,5,0.0106382978723,0.00102082833901,0
Software bug,0.4625,0.0027747520946,40,3,5,0.0106382978723,0.00138603171921,0
Free Software Foundation,0.304104477612,0.00321593011242,67,3,5,0.0186170212766,0.00167409269678,0
International Organization for Standardization,0.497051886792,0.0741639694762,212,2,5,0.0345744680851,0.0049626822381,1
Instruction set,0.422826086957,0.0204413673133,230,3,5,0.0372340425532,0.0132292885575,1
Alexander Stepanov,0.228125,0.00259526741731,20,3,5,0.00797872340426,0.000849811609602,0
Field (computer science),0.248046875,0.00215282468879,32,3,5,0.00531914893617,0.00100614463977,0
Computer program,0.435120240481,0.0378822961244,499,3,5,0.0771276595745,0.0225687499091,1
Dynamic random-access memory,0.505952380952,0.0032439384463,42,3,5,0.0132978723404,0.00221661428548,0
Application software,0.43665158371,0.0464374811967,221,2,5,0.0558510638298,0.0121239831328,1
Parametric polymorphism,0.305803571429,0.00172435263666,28,3,5,0.00797872340426,0.000750720256316,0
Perl,0.470670391061,0.0102009178059,179,3,5,0.0186170212766,0.00389978034619,1
Concurrent computing,0.494318181818,0.00199180441097,44,3,5,0.0106382978723,0.000939077054329,0
List of organizations with consultative status to the United Nations Economic and Social Council,0.573529411765,0.0171117847935,34,3,5,0.00265957446809,0.00157790423298,0
Process control,0.666666666667,0.00219035594036,3,3,5,0.00265957446809,0.000581925570367,0
Compiled language,0.387931034483,0.0331961720471,58,2,5,0.0132978723404,0.00165626454304,0
David Musser,0.173611111111,0.00130950838725,9,3,5,0.00265957446809,0.000596149327563,0
OpenACC,0.4375,0.0011629934394,12,3,5,0.00531914893617,0.000635080374477,0
Inventory management software,1.0,0.003367003367,1,3,3,0.00265957446809,0.000607954085971,0
Method (computer programming),0.203914141414,0.00455558602831,99,3,5,0.0132978723404,0.0029848468347,0
Static program analysis,0.428571428571,0.0021802624326,14,3,5,0.00797872340426,0.000732067833161,0
Static random-access memory,0.607954545455,0.00301855375028,44,3,5,0.0132978723404,0.00192770261239,0
General-purpose language,0.456081081081,0.00929135816641,74,3,5,0.00797872340426,0.0016299493905,0
Planet,0.588068181818,0.0074751671789,44,3,5,0.0292553191489,0.0134636135203,0
Type system,0.419303797468,0.00567003334435,158,3,5,0.0292553191489,0.00245105772295,1
High-level programming language,0.424744897959,0.0115789659504,196,3,5,0.031914893617,0.0047333554136,1
Areal density (computer storage),0.520833333333,0.00140014996822,18,3,5,0.00797872340426,0.00155053823677,0
NASA,0.6171875,0.00302300213014,16,3,5,0.0106382978723,0.00232739233278,0
Declarative programming,0.451950867052,0.0142832350168,173,3,5,0.0212765957447,0.00402444580128,1
Natural satellite,0.53125,0.00462425156013,32,3,5,0.0159574468085,0.00747982539478,0
OpenCL,0.431818181818,0.00205761061472,11,3,5,0.00531914893617,0.000652119794978,0
Garbage collection (computer science),0.359375,0.00209391768467,40,3,5,0.0159574468085,0.00101703716718,0
ANSI C,0.447033898305,0.00313009297924,59,3,5,0.00531914893617,0.000883625099279,0
China National Space Administration,1.0,0.00126262626263,1,3,3,0.00265957446809,0.000678946425188,0
Imperative programming,0.46106557377,0.0449227935346,305,2,5,0.0452127659574,0.0051689843678,1
Android (operating system),0.486657303371,0.0128980065115,178,3,5,0.0292553191489,0.00468298497533,1
Flip-flop (electronics),0.75,0.00170825363376,12,3,5,0.00797872340426,0.00138253722156,0
Clang,0.228125,0.0369756197236,20,2,5,0.0159574468085,0.00111339923793,0
Data,0.645631067961,0.0115679753041,103,3,5,0.0239361702128,0.00817020680623,0
Data collection,1.0,0.00462962962963,2,3,4,0.00531914893617,0.000818825880661,0
AAA (video game industry),0.583333333333,0.00279407713499,3,3,5,0.00265957446809,0.000613674352476,0
Database,0.52806122449,0.0106873224195,49,3,5,0.0265957446809,0.00365237443964,0
Second-generation programming language,0.596153846154,0.0033115091435,13,3,5,0.00265957446809,0.000731835080198,0
Computer programming,0.584630350195,0.0312141627816,257,3,5,0.0478723404255,0.0187549600783,1
CPU cache,0.663461538462,0.00181933186763,26,3,5,0.0106382978723,0.00159043782715,0
Go (programming language),0.386904761905,0.00140774105253,21,3,5,0.00797872340426,0.00072210850353,0
C++17,0.367647058824,0.0361936948924,17,2,5,0.00797872340426,0.000811914078823,0
Unix,0.281879194631,0.00853580017824,149,3,5,0.0292553191489,0.00352055976734,1
C++14,0.318181818182,0.0351517626123,22,2,5,0.0106382978723,0.000835476863506,0
C++11,0.321428571429,0.0457401143884,42,2,5,0.0212765957447,0.00153493387807,0
Component-based software engineering,0.458333333333,0.00321666100296,21,3,5,0.00531914893617,0.000939916361497,0
Swift (programming language),0.293032786885,0.00351906081277,61,3,5,0.0132978723404,0.00095449770731,0
Virtual memory,0.75,0.00101041019315,4,3,5,0.00265957446809,0.000789859731294,0
Web crawler,0.375,0.00517247302962,6,3,5,0.00531914893617,0.000955092428328,0
Planetary system,0.514705882353,0.0025486700649,17,3,5,0.00797872340426,0.00324671816374,0
Ampersand,0.625,0.00599872240188,6,3,5,0.00531914893617,0.00240780959262,0
Endianness,0.625,0.0061004784689,2,3,5,0.00265957446809,0.00065173904274,0
Real-time computing,0.587837837838,0.00587342105608,37,3,5,0.00797872340426,0.00155746989326,0
Embedded software,0.522727272727,0.0308975675326,11,2,5,0.00531914893617,0.000967054558738,0
Telecommunication,0.67,0.0157076777188,25,3,5,0.0212765957447,0.00530520821803,0
Delphi (programming language),0.2890625,0.00244441826676,24,3,5,0.0132978723404,0.00108757563565,0
Java version history,0.236111111111,0.0013349333167,18,3,5,0.00265957446809,0.000625796288265,0
Abstraction (software engineering),0.552884615385,0.00617662043654,52,3,5,0.0106382978723,0.0018819043313,0
Compiler,0.379441624365,0.0276983739794,394,3,5,0.0797872340426,0.0102235003358,1
LLVM,0.234375,0.00325577230555,28,3,5,0.0106382978723,0.000776162026482,0
Information theory,0.633333333333,0.00439659116792,30,3,5,0.0106382978723,0.00340542452134,0
Orbit,0.599137931034,0.0042259230368,29,3,5,0.0159574468085,0.00564984692166,0
C++,-1.0,-1.0,-1,-1,-1,0.093085106383,0.00449179241848,0
Comet,0.695652173913,0.00374248436748,23,3,5,0.0159574468085,0.00951144118089,0
Intel C++ Compiler,0.5,0.030303030303,1,2,2,0.00265957446809,0.000638911693731,0
Google,0.322443181818,0.00542664509196,88,3,5,0.0132978723404,0.00224132632936,0
Design Patterns,0.347222222222,0.00130950838725,9,3,5,0.00265957446809,0.000596149327563,0
Bjarne Stroustrup,0.291666666667,0.0306218313402,6,2,5,0.00531914893617,0.000759305261984,0
Inferno (operating system),0.193181818182,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
This (computer programming),0.370535714286,0.00150467654065,28,3,5,0.00265957446809,0.000730569233018,0
Imperative mood,0.516666666667,0.00520406519584,45,3,5,0.00531914893617,0.00115476175133,0
Space exploration,0.703125,0.00588666426166,16,3,5,0.0159574468085,0.00356137233158,0
Edgar F. Codd,0.55625,0.00553821949655,20,3,5,0.0159574468085,0.00228492064895,0
Lisp (programming language),0.383928571429,0.00472591207178,112,3,5,0.0212765957447,0.00246285764016,0
Robotic spacecraft,0.704545454545,0.00271314333814,11,3,5,0.00797872340426,0.00192951985607,0
Concept (generic programming),0.200892857143,0.00162830942444,14,3,5,0.00531914893617,0.000716542895816,0
Scala (programming language),0.241185897436,0.00349929738662,78,3,5,0.0186170212766,0.00114987407891,0
Space probe,0.75,0.0303686212777,2,2,5,0.0132978723404,0.00440262739529,0
Source code,0.417958656331,0.0349853609045,387,3,5,0.0744680851064,0.0157126617758,1
Freely redistributable software,0.5,0.0016835016835,1,3,3,0.00265957446809,0.000555088807779,0
Accounting software,0.365740740741,0.00443466771505,27,3,5,0.00531914893617,0.00159464289372,0
Public switched telephone network,0.5,0.00505050505051,2,3,4,0.00531914893617,0.00085955690473,0
Bit,0.734848484848,0.00350958254302,33,3,5,0.0239361702128,0.00295157197269,0
Apple Inc.,0.446947674419,0.0296909178537,258,3,5,0.0425531914894,0.0108899532547,1
Objective-C,0.244565217391,0.00582064585763,69,3,5,0.0186170212766,0.0010285672677,0
Embedded system,0.493421052632,0.0108164394886,171,3,5,0.0425531914894,0.00351835592976,1
Randomized algorithm,0.37962962963,0.0061699851295,27,3,5,0.00531914893617,0.00554794254269,0
New Jersey,0.365384615385,0.00202642167231,13,3,5,0.00531914893617,0.000833220245599,0
Computational science,0.441964285714,0.00498621569771,56,3,5,0.0132978723404,0.00195170075622,0
Generic function,0.347222222222,0.00130950838725,9,3,5,0.00265957446809,0.000596149327563,0
Telephone call,0.75,0.00505050505051,2,3,4,0.00531914893617,0.000807800486406,0
GNU Compiler Collection,0.23125,0.033008003855,30,2,5,0.0159574468085,0.00125298026633,0
PHP,0.377659574468,0.00176350096714,47,3,5,0.00531914893617,0.000883883627098,0
Online advertising,0.575,0.00394572099768,10,3,5,0.00531914893617,0.000925507870255,0
C,0.473039215686,0.00215200839478,51,3,5,0.00265957446809,0.000756647258419,0
Recursion (computer science),0.524147727273,0.00711942719411,88,3,5,0.00797872340426,0.00589713821679,0
Delegation (computing),0.347222222222,0.00130950838725,9,3,5,0.00265957446809,0.000596149327563,0
List of active Solar System probes,1.0,0.00126262626263,1,3,3,0.00265957446809,0.000678946425188,0
Application domain,0.576086956522,0.00726563121888,46,3,5,0.00531914893617,0.00258119864805,0
Java bytecode,0.345766129032,0.0034376464183,62,3,5,0.0159574468085,0.00158944463903,0
Sony,0.486842105263,0.00322480284502,19,3,5,0.00797872340426,0.0022278766753,0
Expressive power (computer science),0.475,0.00149861455151,10,3,5,0.00531914893617,0.000652812075997,0
Silicon,0.575,0.00306273356592,25,3,5,0.00797872340426,0.00312711344461,0
Microarchitecture,0.363970588235,0.00289454647834,34,3,5,0.00797872340426,0.0021279960839,0
Integrated development environment,0.434782608696,0.00250715927263,23,3,5,0.0132978723404,0.00081162966032,0
Word processor,0.388392857143,0.00587368125847,28,3,5,0.00797872340426,0.00158872098027,0
Andrei Alexandrescu,0.229166666667,0.00126454976572,6,3,5,0.00265957446809,0.00056509228713,0
Random-access memory,0.569078947368,0.00604249500915,76,3,5,0.0292553191489,0.00540336164666,0
Electronic data interchange,1.0,0.003367003367,1,3,3,0.00265957446809,0.000607954085971,0
Procedural programming,0.408163265306,0.00381077396517,49,3,5,0.0106382978723,0.00115694481272,0
"Write once, run anywhere",0.236111111111,0.0013349333167,18,3,5,0.00265957446809,0.000625796288265,0
Command (computing),0.265625,0.00453619486614,40,3,5,0.00265957446809,0.00101145885719,0
Artificial cardiac pacemaker,0.666666666667,0.00219035594036,3,3,5,0.00265957446809,0.000581925570367,0
Structured programming,0.445673076923,0.00471009341881,130,3,5,0.0159574468085,0.00239556104991,0
Nokia,0.365384615385,0.00202642167231,13,3,5,0.00531914893617,0.000833220245599,0
Measuring programming language popularity,0.300551470588,0.00347067599474,68,3,5,0.00531914893617,0.000859237021748,0
Roscosmos State Corporation,0.625,0.00202922077922,6,3,5,0.00797872340426,0.00113378297235,0
Software relicensing,0.472222222222,0.0013349333167,18,3,5,0.00265957446809,0.000625796288265,0
Windows API,0.428571428571,0.00180962771734,7,3,5,0.00531914893617,0.000591313848229,0
Auxiliary memory,0.477678571429,0.00178279672464,28,3,5,0.00797872340426,0.00210207242452,0
Object Pascal,0.193014705882,0.00170642813453,34,3,5,0.00531914893617,0.000833288977561,0
Supercomputer,0.502232142857,0.0063493042117,168,3,5,0.0239361702128,0.00251892941166,1
Hard disk drive,0.574324324324,0.00497713243161,74,3,5,0.0239361702128,0.00579342165983,0
Extensibility,0.375,0.0116888240322,7,3,5,0.00265957446809,0.000759932752952,0
Columbia University,0.375,0.00435388366423,2,3,5,0.00265957446809,0.00061541050838,0
Berkeley Software Distribution,0.2375,0.00149690839026,30,3,5,0.0106382978723,0.000893552264471,0
Java (software platform),0.226715686275,0.00392204087323,51,3,5,0.0132978723404,0.00174825438021,0
Interpreter (computing),0.375475285171,0.0175255927122,263,3,5,0.0292553191489,0.00791222997615,1
ARM architecture,0.375,0.00133357682427,14,3,5,0.00797872340426,0.00077670909639,0
Walter Bright,0.203125,0.0014735361816,8,3,5,0.00531914893617,0.00066107054946,0
Cursive,1.0,0.00416217511079,3,3,5,0.00531914893617,0.000882464973446,0
Digraph (orthography),1.0,0.00278476464247,2,3,5,0.00265957446809,0.000619269253788,0
Software,0.525058275058,0.0382471951677,429,3,5,0.0877659574468,0.0192171920656,1
Debugging,0.576923076923,0.00439321946443,52,3,5,0.00797872340426,0.00270776173326,0
Kilobyte,0.666666666667,0.00219035594036,3,3,5,0.00265957446809,0.000581925570367,0
IBM System z,0.625,0.0061004784689,2,3,5,0.00265957446809,0.00065173904274,0
D (programming language),0.319078947368,0.0317467853554,19,2,5,0.0186170212766,0.00123188758347,0
Java (programming language),0.385514018692,0.0370005800716,107,2,5,0.0505319148936,0.00325840364161,0
Bounds checking,0.458333333333,0.00126454976572,6,3,5,0.00265957446809,0.00056509228713,0
GNU,0.258680555556,0.00212486601446,36,3,5,0.0106382978723,0.0011388015363,0
GNU General Public License,0.345679012346,0.00424707112046,81,3,5,0.0239361702128,0.00178355443507,0
Strong and weak typing,0.388888888889,0.00282568603746,36,3,5,0.0106382978723,0.000837971571998,0
Concurrency (computer science),0.4375,0.00220988144143,28,3,5,0.00797872340426,0.0012885395014,0
Volta Laboratory and Bureau,0.386363636364,0.00163116475531,11,3,5,0.00265957446809,0.000687185119169,0
Ada (programming language),0.352822580645,0.00396845519217,62,3,5,0.0212765957447,0.00120143937489,0
Typographic ligature,0.785714285714,0.00967181698407,7,3,5,0.0132978723404,0.0041983914815,0
Graphics software,0.597826086957,0.00244316174627,23,3,5,0.00265957446809,0.00116743207548,0
Software as a service,0.569444444444,0.00620121974231,18,3,5,0.00797872340426,0.00150765590691,0
FreeBSD,0.302884615385,0.00098793772831,13,3,5,0.00531914893617,0.000635631598357,0
Geocentric orbit,0.75,0.00233736171236,8,3,5,0.0106382978723,0.00142832324665,0
Integrated circuit,0.629464285714,0.010208454865,84,3,5,0.0372340425532,0.00883099483636,0
Data type,0.418624161074,0.00947819896459,149,3,5,0.0292553191489,0.00481258634026,1
Programming language,0.466103142077,0.0643268016013,732,3,5,0.143617021277,0.0228514897818,1
Software development,0.42803030303,0.00686826037724,66,3,5,0.0159574468085,0.00308787483801,0
Search engine results page,0.7,0.00390984676699,5,3,5,0.00265957446809,0.000744220633638,0
Operating system,0.435850923483,0.0329671667854,379,3,5,0.0957446808511,0.0115365983216,1
Domain-specific language,0.426470588235,0.0147106664819,68,3,5,0.0186170212766,0.00276197284112,0
Programming language implementation,0.553571428571,0.0100424448912,119,3,5,0.00797872340426,0.00297919852702,0
System programming,0.328125,0.0309473414367,16,2,5,0.00797872340426,0.00117063200071,0
System programming language,0.335526315789,0.00189262901216,19,3,5,0.00531914893617,0.000937432040399,0
System software,0.506024096386,0.010223479007,166,3,5,0.0212765957447,0.00437959192503,1
Syntax (programming languages),0.353853383459,0.00616072499371,133,3,5,0.0106382978723,0.00331592156383,0
Outer space,0.739583333333,0.00433276214526,12,3,5,0.00797872340426,0.00248931658423,0
OpenMP,0.388888888889,0.00277043461899,18,3,5,0.00797872340426,0.000673421666279,0
Mobile commerce,0.5,0.003367003367,1,3,3,0.00265957446809,0.000607954085971,0
Memory cell (binary),0.55,0.00115974082629,10,3,5,0.00531914893617,0.000934822526202,0
Memory footprint,0.596153846154,0.0033115091435,13,3,5,0.00265957446809,0.000731835080198,0
MacOS,0.314606741573,0.0122989647791,178,3,5,0.0398936170213,0.0048028383711,1
Inside plant,1.0,0.00378787878788,1,3,3,0.00265957446809,0.000629451762135,0
Template (C++),0.210227272727,0.00291284332391,11,3,5,0.00531914893617,0.000777879794533,0
William Procter Prize for Scientific Achievement,0.375,0.00435388366423,2,3,5,0.00265957446809,0.00061541050838,0
Computer science,0.502192982456,0.0388628213871,342,3,5,0.0771276595745,0.0220347851722,1
List of government space agencies,0.825,0.0045431998557,10,3,5,0.0159574468085,0.00248104369486,0
Object (computer science),0.316532258065,0.0108718076016,155,3,5,0.0292553191489,0.00519651740839,1
Bell System,0.336956521739,0.00620471207152,23,3,5,0.00797872340426,0.00156795519654,0
GNU toolchain,0.375,0.000861057141221,8,3,5,0.00265957446809,0.000551235003085,0
C++ Standard Library,0.260416666667,0.00893439895732,24,3,5,0.0132978723404,0.00119503990386,0
C Sharp (programming language),0.285102739726,0.0351482801023,73,2,5,0.0292553191489,0.00148212650292,0
IOS,0.417729591837,0.00969154646807,196,3,5,0.0292553191489,0.00526596138421,1
Sun acquisition by Oracle,0.191810344828,0.0015548975359,29,3,5,0.00531914893617,0.000767521754852,0
Missile,0.666666666667,0.00219035594036,3,3,5,0.00265957446809,0.000581925570367,0
GNU Classpath,0.236111111111,0.0013349333167,18,3,5,0.00265957446809,0.000625796288265,0
Freescale Semiconductor,0.386363636364,0.00120598511773,11,3,5,0.00531914893617,0.000752746361428,0
Solid-state drive,0.423913043478,0.00160472874223,23,3,5,0.00797872340426,0.00180991817004,0
ISO basic Latin alphabet,0.638888888889,0.00322663797241,9,3,5,0.00531914893617,0.000780065689013,0
World Wide Web,0.427083333333,0.012554392307,24,3,5,0.0159574468085,0.00446108222019,0
Standards organization,0.526408450704,0.0434885132921,71,3,5,0.0186170212766,0.00866061304065,0
GNU Project,0.311643835616,0.00361616781101,73,3,5,0.0212765957447,0.00197553120607,0
Memory safety,0.5,0.00139294524938,11,3,5,0.00531914893617,0.000626473785392,0
Page description language,0.51,0.00873135679842,25,3,5,0.00531914893617,0.00139650865702,0
Web browser,0.462078651685,0.0129008694323,89,3,5,0.0212765957447,0.00609521733031,0
Handwriting,1.0,0.00278476464247,2,3,5,0.00265957446809,0.000619269253788,0
Programmable read-only memory,0.513888888889,0.00140375515682,9,3,5,0.00531914893617,0.000997755276442,0
Computing,0.629032258065,0.00975622389836,124,3,5,0.0292553191489,0.00736271408976,0
Tuple relational calculus,0.325,0.00176694190583,5,3,5,0.00265957446809,0.000684497858175,0
